,표준ID,정류장명,ARS-ID,X좌표,Y좌표,epsg5179_x,epsg5179_y
7035,116000440,코오롱싸이언스밸리.베스트웨스턴구로호텔,17726,126.8991865,37.48351825,1942867.277,946882.1249
7036,116000441,디지털1단지,17725,126.8948984,37.4837488,1942895.283,946503.175
7037,116000442,디지털1단지,17724,126.8947759,37.48399019,1942922.133,946492.5168
7038,116000443,디지털단지오거리,17722,126.8904659,37.48000947,1942482.954,946108.6096
7039,116000444,디지털단지오거리,17723,126.8911041,37.48020132,1942503.874,946165.1737
7040,116000445,동부골든아파트,17304,126.8404367,37.49882093,1944599.79,941699.8977
7041,116000446,동부골든.한신플러스타운,17309,126.8406077,37.49872024,1944588.513,941714.9347
7042,116000447,오류동삼거리,17308,126.840776,37.495268,1944205.402,941727.1286
7043,116000448,오류동삼거리,17307,126.8408784,37.49537031,1944216.689,941736.26
7044,116000449,유한공고.성공회대학교,17999,126.824741,37.48954527,1943580.544,940305.1246
7045,116000451,궁동사거리,17997,126.8279101,37.50609686,1945414.849,940598.3986
7046,116000453,궁동삼거리,17241,126.8284512,37.50640132,1945448.286,940646.4645
7047,116000458,온수남부,17990,126.8243078,37.4919749,1943850.373,940268.7629
7048,116000459,온수남부역,17989,126.8242097,37.49184319,1943835.823,940259.9858
7049,116000563,구로역.나인스애비뉴,17310,126.8834798,37.49982279,1944685.147,945505.3302
7050,116000565,천왕역,17600,126.8390872,37.48577113,1943152.824,941570.4461
7051,116000568,천왕이펜하우스2단지,17700,126.8379747,37.48565247,1943140.35,941471.9991
7052,116000569,천왕이펜하우스3단지,17699,126.8387635,37.48115433,1942640.817,941538.2309
7053,116000570,천왕이펜하우스5단지,17698,126.8406663,37.47966108,1942473.97,941705.3046
7054,116000572,남부교도소,17653,126.8409403,37.4762796,1942098.645,941726.9047
7055,116000573,남부교도소,17652,126.8407003,37.47643247,1942115.754,941705.8027
7056,116000576,신도림역,17775,126.8883126,37.50890606,1945690.098,945939.0594
7057,116000577,신도림4차e편한세상,15808,126.8877444,37.51219814,1946055.663,945891.218
7058,116000579,구로우체국.이펜하우스3단지후문,17701,126.8421432,37.48170226,1942699.514,941837.4678
7059,116000580,천왕이펜하우스6단지후문,17648,126.8426741,37.47820668,1942311.372,941881.699
7060,116000581,천왕이펜하우스6단지후문,17647,126.8427844,37.47790676,1942278.029,941891.2192
